Entry No.,Size,Entry Date,Category,Marketing Group,Manufacturing Co.,SALE QTY,Current Stock(Unit1),Qty(Unit1),Vendor,Free Qty(Unit1),Amount,Product MRP,Product Purchase Rate
B820,  40,17/02/2024,Kurti(Bandi),GENTS WEAR,Manoj Chikan Centre,1.0,1.0,2.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B820,  42,17/02/2024,Kurti(Bandi),GENTS WEAR,Manoj Chikan Centre,0.0,2.0,2.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B819,  34,17/02/2024,Kurta <,GENTS WEAR,Manoj Chikan Centre,0.0,3.0,3.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B819,  36,17/02/2024,Kurta <,GENTS WEAR,Manoj Chikan Centre,0.0,2.0,2.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B819,  38,17/02/2024,Kurta <,GENTS WEAR,Manoj Chikan Centre,0.0,2.0,2.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B819,  40,17/02/2024,Kurta <,GENTS WEAR,Manoj Chikan Centre,0.0,6.0,6.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B819,  42,17/02/2024,Kurta <,GENTS WEAR,Manoj Chikan Centre,1.0,11.0,12.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B819,  44,17/02/2024,Kurta <,GENTS WEAR,Manoj Chikan Centre,0.0,12.0,12.0,Manoj Chikan Centre,0.0,0.0,0.0,0.0
B813,  30,07/02/2024,JEANS<,GENTS WEAR,UNIDENTIFIED,0.0,2.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B813,  32,07/02/2024,JEANS<,GENTS WEAR,UNIDENTIFIED,0.0,2.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B813,  34,07/02/2024,JEANS<,GENTS WEAR,UNIDENTIFIED,1.0,1.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B813,  36,07/02/2024,JEANS<,GENTS WEAR,UNIDENTIFIED,0.0,2.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B813,  38,07/02/2024,JEANS<,GENTS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B915,  30,16/03/2024,JEANS<,GENTS WEAR,UNIDENTIFIED,1.0,8.0,9.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B915,  32,16/03/2024,JEANS<,GENTS WEAR,UNIDENTIFIED,0.0,9.0,9.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B915,  34,16/03/2024,JEANS<,GENTS WEAR,UNIDENTIFIED,0.0,7.0,7.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B915,  36,16/03/2024,JEANS<,GENTS WEAR,UNIDENTIFIED,0.0,4.0,4.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B868,  XXL,06/03/2024,TOP<,GIRLS WEAR,Laxhmi Hosiery House,0.0,2.0,2.0,Laxhmi Hosiery House,0.0,0.0,0.0,0.0
B947,  1,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  2,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  3,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  4,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  5,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  6,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
B947,  8,29/03/2024,Kurta-Pajama+Jacket <>,BABA KIDS WEAR,Zeeshan Marketring,0.0,1.0,1.0,Zeeshan Marketring,0.0,0.0,0.0,0.0
